Ручная подстройка;;;;;Синхронизация моторов;;;;;П-регулятор;;;;;ПИД-регулятор;;;;;;;Power B;Power C;Speed B;Speed C;Общая средняя мощность;Общая средняя скорость;Первый промежуток;Второй промежуток;Третий промежуток;Четвертый промежуток
Power B;Power C;Speed B;Speed C;;Power B;Power C;Speed B;Speed C;;Power B;Power C;Speed B;Speed C;;Power B;Power C;Speed B;Speed C;;;Ручная подстройка;69,53488372;73,37209302;558,255814;555,9883721;71,45348837;557,122093;0,06;-87,04318182;-2,6175;81,73333333
69,53488372;73,37209302;558,255814;555,9883721;;65,31914894;0;464,787234;444,0425532;;66,34269663;71,18539326;530,8988764;526,1235955;;66,12698413;66,46560847;501,3227513;501,2698413;;;Синхронизация моторов;65,31914894;0;464,787234;444,0425532;65,31914894;454,4148936;0,013458529;-89,42884615;-1,477777778;85,65
;Средний угол:;Эталон:;;;;Средний угол:;Эталон:;;;;Средний угол:;Эталон:;;;;Средний угол:;Эталон:;;;;П-регулятор;66,34269663;71,18539326;530,8988764;526,1235955;68,76404494;528,511236;0,260869565;-90,3755102;2,197368421;96,4
Первый промежуток;0,06;0;Общая средняя мощность;;Первый промежуток;0,013458529;0;Общая средняя мощность;;Первый промежуток;0,260869565;0;Общая средняя мощность;;Первый промежуток;0,073913043;0;Общая средняя мощность;;;ПИД-регулятор;66,12698413;66,46560847;501,3227513;501,2698413;66,2962963;501,2962963;0,073913043;-91,84166667;-1,758695652;84,88666667
Второй промежуток;-87,04318182;-90;71,45348837;;Второй промежуток;-89,42884615;-90;65,31914894;;Второй промежуток;-90,3755102;-90;68,76404494;;Второй промежуток;-91,84166667;-90;66,2962963;;;Эталон;;;;;;;0;-90;0;90
Третий промежуток;-2,6175;0;Общая средняя скорость;;Третий промежуток;-1,477777778;0;Общая средняя скорость;;Третий промежуток;2,197368421;0;Общая средняя скорость;;Третий промежуток;-1,758695652;0;Общая средняя скорость;;;;;;;;;;;;;
Четвертый промежуток;81,73333333;90;557,122093;;Четвертый промежуток;85,65;90;454,4148936;;Четвертый промежуток;96,4;90;528,511236;;Четвертый промежуток;84,88666667;90;501,2962963;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
